Date,NAV
2024-10-02,75448.63948059082
2024-10-03,75792.42295837402
2024-10-04,76570.88414001465
2024-10-07,75745.75010681152
2024-10-08,77298.13729858398
2024-10-09,77667.27116394043
2024-10-10,78025.37437438965
2024-10-11,78142.04139709473
2024-10-14,79081.29931640625
2024-10-15,78269.70077514648
2024-10-16,78597.36064147949
2024-10-17,78749.70747375488
2024-10-18,79324.01951599121
2024-10-21,80420.48715209961
2024-10-22,80789.61709594727
2024-10-23,79161.62840270996
2024-10-24,79395.98901367188
2024-10-25,80022.96130371094
2024-10-28,80081.05334472656
2024-10-29,80764.19030761719
2024-10-30,80620.9838256836
2024-10-31,77628.18965148926
2024-11-01,78752.61723327637
2024-11-04,78446.12055969238
2024-11-05,79568.09968566895
2024-11-06,81671.74221801758
2024-11-07,83218.1908416748
2024-11-08,82617.2137298584
2024-11-11,81886.75668334961
2024-11-12,82776.576171875
2024-11-13,82785.81927490234
2024-11-14,82792.92245483398
2024-11-15,80547.66532897949
2024-11-18,80628.02651977539
2024-11-19,82188.32189941406
2024-11-20,81732.50791931152
2024-11-21,80943.70750427246
2024-11-22,80191.00604248047
2024-11-25,80008.92695617676
2024-11-26,81189.53842163086
2024-11-27,80602.38180541992
2024-11-29,81399.19721984863
2024-12-02,82263.03366088867
2024-12-03,82943.71116638184
2024-12-04,84487.59487915039
2024-12-05,84730.31231689453
2024-12-06,84891.43714904785
2024-12-09,84696.56025695801
2024-12-10,84601.41963195801
2024-12-11,86365.83068847656
2024-12-12,85890.90916442871
2024-12-13,85092.0015258789
2024-12-16,85903.88711547852
2024-12-17,85749.80140686035
2024-12-18,83306.86032104492
2024-12-19,83903.90522766113
2024-12-20,85181.55749511719
2024-12-23,86191.3531036377
2024-12-24,87018.57438659668
2024-12-26,86824.80055236816
2024-12-27,85410.86561584473
2024-12-30,84752.18031311035
2024-12-31,83730.17163085938
2025-01-02,83815.74314880371
2025-01-03,85352.79669189453
2025-01-06,86981.76762390137
2025-01-07,84619.33184814453
2025-01-08,84643.08863830566
2025-01-10,82974.67854309082
2025-01-13,82194.24424743652
2025-01-14,81685.61424255371
2025-01-15,83893.77931213379
2025-01-16,82313.61344909668
2025-01-17,83819.36819458008
2025-01-21,84172.1696472168
2025-01-22,86239.32945251465
2025-01-23,86273.13873291016
2025-01-24,85466.14805603027
2025-01-27,81313.7057800293
2025-01-28,84530.22410583496
2025-01-29,83519.78289794922
2025-01-30,82670.10475158691
2025-01-31,82211.73365783691
2025-02-03,80701.71795654297
2025-02-04,82071.1590423584
2025-02-05,81759.16697692871
2025-02-06,82723.5726776123
2025-02-07,81216.07583618164
2025-02-10,82263.1385345459
2025-02-11,82401.82037353516
2025-02-12,82015.68377685547
2025-02-13,83349.12760925293
2025-02-14,83909.1792755127
2025-02-18,83807.99620056152
2025-02-19,84095.66090393066
2025-02-20,84099.64100646973
2025-02-21,82149.30505371094
2025-02-24,81162.41540527344
2025-02-25,80116.03582763672
2025-02-26,80349.69972229004
2025-02-27,77425.47631835938
2025-02-28,79056.06237792969
2025-03-03,76015.26504516602
2025-03-04,76321.13694763184
2025-03-05,77419.05824279785
2025-03-06,75600.23933410645
2025-03-07,76089.46337890625
2025-03-10,72986.52079772949
2025-03-11,72791.54145812988
2025-03-12,74057.22216796875
2025-03-13,72693.41397094727
2025-03-14,74773.0764465332
2025-03-17,74254.58877563477
2025-03-18,72884.5891418457
2025-03-19,73958.43760681152
2025-03-20,73888.32582092285
2025-03-21,74404.24397277832
2025-03-24,75955.06561279297
2025-03-25,76493.09503173828
2025-03-26,74373.5051574707
2025-03-27,74048.11987304688
2025-03-28,71797.12448120117
2025-03-31,71644.80757141113
2025-04-01,72543.8433227539
2025-04-02,72895.06225585938
2025-04-03,67999.51928710938
