T,strike,iv_imp,call_price,dC_dT,d2C_dK2,sigma_loc
1e-06,90.0,,,,,
1e-06,95.0,,,,,
1e-06,100.0,,,,,
1e-06,110.0,,,,,
1e-06,115.0,,,,,
1e-06,120.0,,,,,
1e-06,125.0,,,,,
1e-06,130.0,,,,,
1e-06,135.0,,,,,
1e-06,140.0,,,,,
1e-06,145.0,,,,,
1e-06,150.0,,,,,
1e-06,155.0,,,,,
1e-06,160.0,,,,,
1e-06,165.0,,,,,
1e-06,170.0,,,,,
1e-06,175.0,,,,,
1e-06,180.0,,,,,
1e-06,185.0,,,,,
1e-06,190.0,,,,,
1e-06,195.0,,,,,
1e-06,200.0,,,,,
1e-06,205.0,,,,,
1e-06,210.0,,,,,
1e-06,215.0,,,,,
1e-06,217.5,,,,,
1e-06,220.0,,,,,
1e-06,222.5,,,,,
1e-06,225.0,,,,,
1e-06,227.5,,,,,
1e-06,230.0,,,,,
1e-06,232.5,,,,,
1e-06,235.0,,,,,
1e-06,237.5,,,,,
1e-06,240.0,,,,,
1e-06,242.5,,,,,
1e-06,245.0,1.296692635192871,0.30500006713884886,250.64861548300487,,
1e-06,247.5,4.11926287145996,0.004999345225018104,189.81154198324793,,
1e-06,250.0,,,,,
1e-06,252.5,,,,,
1e-06,255.0,,,,,
1e-06,257.5,,,,,
1e-06,260.0,,,,,
1e-06,262.5,,,,,
1e-06,265.0,,,,,
1e-06,267.5,,,,,
1e-06,270.0,,,,,
1e-06,272.5,,,,,
1e-06,275.0,,,,,
1e-06,280.0,,,,,
1e-06,285.0,,,,,
1e-06,290.0,,,,,
1e-06,295.0,,,,,
1e-06,300.0,,,,,
1e-06,305.0,,,,,
1e-06,310.0,,,,,
1e-06,315.0,,,,,
1e-06,320.0,,,,,
1e-06,325.0,,,,,
1e-06,330.0,,,,,
1e-06,335.0,,,,,
1e-06,340.0,,,,,
1e-06,345.0,,,,,
1e-06,355.0,,,,,
1e-06,360.0,,,,,
1e-06,370.0,,,,,
0.01643835616438356,90.0,3.073797611192703,155.39999954322826,,0.0019999828513516784,
0.01643835616438356,95.0,2.5248151007499695,150.3250002392384,,-0.04850001074044001,
0.01643835616438356,100.0,2.554789078519821,145.3500000778161,,-0.04375001237254139,
0.01643835616438356,110.0,2.1081358017616276,135.32500055721465,,,
0.01643835616438356,115.0,3.0257872715210903,130.9249993751498,,0.03825001053204147,
0.01643835616438356,120.0,,,,,
0.01643835616438356,125.0,1.7423445541191103,120.32499972568766,,0.006250001476453238,
0.01643835616438356,130.0,2.0325618956727984,115.4250005130123,,,
0.01643835616438356,135.0,1.6956049852199553,110.35000022387084,,-0.00025001696043688295,
0.01643835616438356,140.0,1.5918738505706789,105.34999921194864,,,
