date,action,t,price
2022-10-27,BUY,2,142.54981994628906
2022-10-28,SELL,3,153.3197784423828
2022-11-04,BUY,8,136.45555114746094
2022-11-08,SELL,10,137.55996704101562
2022-11-09,BUY,11,132.9943389892578
2022-11-11,SELL,13,147.61813354492188
2022-11-14,BUY,14,146.21786499023438
2022-11-15,SELL,15,147.95339965820312
2022-11-16,BUY,16,146.72076416015625
2022-11-18,SELL,18,149.18600463867188
2022-11-21,BUY,19,145.95159912109375
2022-11-23,SELL,21,148.96905517578125
2022-11-29,BUY,24,139.2067413330078
2022-12-01,SELL,26,146.24749755859375
2022-12-07,BUY,30,138.9799346923828
2022-12-08,SELL,31,140.66616821289062
2022-12-09,BUY,32,140.18299865722656
2022-12-13,SELL,34,143.4469757080078
2022-12-20,BUY,39,130.4600830078125
2022-12-21,SELL,40,133.56631469726562
2022-12-28,BUY,44,124.28716278076172
2022-12-30,SELL,46,128.12306213378906
2023-01-03,BUY,47,123.33064270019531
2023-01-04,SELL,48,124.60271453857422
2023-01-05,BUY,49,123.28134155273438
2023-01-11,SELL,53,131.633544921875
2023-01-12,BUY,54,131.55467224121094
2023-01-17,SELL,56,134.0494842529297
2023-01-18,BUY,57,133.32960510253906
2023-01-24,SELL,61,140.54782104492188
2023-01-25,BUY,62,139.8871612548828
2023-01-27,SELL,64,143.9005584716797
2023-01-30,BUY,65,141.01129150390625
2023-02-03,SELL,69,152.3513641357422
2023-02-06,BUY,70,149.61988830566406
2023-02-07,SELL,71,152.49928283691406
2023-02-09,BUY,73,148.77183532714844
2023-02-13,SELL,75,151.94203186035156
2023-02-14,BUY,76,151.3000946044922
2023-02-15,SELL,77,153.40367126464844
2023-02-21,BUY,80,146.6386260986328
2023-02-23,SELL,82,147.54721069335938
2023-02-24,BUY,83,144.89059448242188
2023-02-27,SELL,84,146.08558654785156
2023-03-01,BUY,86,143.50791931152344
2023-03-06,SELL,89,151.92230224609375
2023-03-07,BUY,90,149.71994018554688
2023-03-08,SELL,91,150.97421264648438
2023-03-10,BUY,93,146.6583709716797
2023-03-16,SELL,97,153.91725158691406
2023-03-17,BUY,98,153.0777587890625
2023-03-21,SELL,100,157.3046875
2023-03-22,BUY,101,155.87269592285156
2023-03-24,SELL,103,158.26266479492188
2023-03-28,BUY,105,155.6949005126953
2023-04-03,SELL,109,164.10926818847656
2023-04-05,BUY,111,161.7291259765625
2023-04-06,SELL,112,162.6179962158203
2023-04-12,BUY,115,158.1145477294922
2023-04-13,SELL,116,163.50682067871094
2023-04-14,BUY,117,163.1611785888672
2023-04-19,SELL,120,165.55116271972656
2023-04-21,BUY,122,162.9735107421875
2023-04-24,SELL,123,163.27967834472656
2023-04-26,BUY,125,161.7291259765625
2023-04-28,SELL,127,167.57569885253906
2023-05-04,BUY,131,163.7339630126953
2023-05-05,SELL,132,171.41748046875
2023-05-09,BUY,134,169.63983154296875
2023-05-11,SELL,136,171.5952606201172
2023-05-15,BUY,138,170.17115783691406
2023-05-19,SELL,142,173.22705078125
2023-05-23,BUY,144,169.66677856445312
2023-05-30,SELL,148,175.3434295654297
2023-05-31,BUY,149,175.29396057128906
2023-06-02,SELL,151,178.953125
2023-06-07,BUY,154,175.85768127441406
2023-06-12,SELL,157,181.76181030273438
2023-06-13,BUY,158,181.28709411621094
2023-06-15,SELL,160,183.95730590820312
2023-06-16,BUY,161,182.8793182373047
2023-06-20,SELL,162,182.96836853027344
2023-06-21,BUY,163,181.92994689941406
2023-06-22,SELL,164,184.9364013671875
2023-06-26,BUY,166,183.2254638671875
2023-06-30,SELL,170,191.8294677734375
2023-07-05,BUY,172,189.2185821533203
2023-07-06,SELL,173,189.6933135986328
2023-07-11,BUY,176,186.00445556640625
2023-07-17,SELL,180,191.84925842285156
2023-07-18,BUY,181,191.5921173095703
2023-07-19,SELL,182,192.94699096679688
2023-07-21,BUY,184,189.82186889648438
2023-07-26,SELL,187,192.35360717773438
2023-07-27,BUY,188,191.0877227783203
2023-07-31,SELL,190,194.2821044921875
