meta_prob_decile,mean,std,count
0,0.0005812652618990749,0.02423811910163002,63
1,0.002977076646392295,0.013850599372157886,63
2,0.0007295656997700538,0.015001794824698713,62
3,0.0034687365165012108,0.013637578962165475,63
4,-0.0020945323224322203,0.016260213065861475,63
5,0.002068386897291783,0.014148240926847902,62
6,0.0017656051344288929,0.017678642121056555,63
7,-0.00022063556472809353,0.015301096089851246,62
8,0.0013695254560637884,0.016972752074485866,63
9,0.0029111230828440956,0.0256216210481303,63
