feature,n100_d3_leaf1,n100_d3_leaf5,n100_d5_leaf1,n100_d5_leaf5,n100_dNone_leaf1,n100_dNone_leaf5,n200_d3_leaf1,n200_d3_leaf5,n200_d5_leaf1,n200_d5_leaf5,n200_dNone_leaf1,n200_dNone_leaf5
close,0.09252005972361395,0.09312515932311258,0.11913450941340757,0.12098949917560396,0.12685682626460695,0.13193326805303426,0.09588544734836524,0.09646884273087723,0.12400494949347687,0.12391759480855669,0.1296771087387571,0.13446282863746498
ret,0.04976355132579739,0.05057065442353052,0.06874187441157593,0.07111418367257809,0.082393806705403,0.07580018964575999,0.05095102392793076,0.05167270167526788,0.06801543173283638,0.06987898839265723,0.0829634607968549,0.07736661165891362
r1,0.01748890874862844,0.017827684948283327,0.03706202256594945,0.035740862734809524,0.07624568762845714,0.06640993317170345,0.01711328265769005,0.017204045132576187,0.035652780942407154,0.0331878650979424,0.07743464055417497,0.0644124268672231
r5,0.08737434525417606,0.08843605380562675,0.09560102905768725,0.08836869528414866,0.09706807212086357,0.09916017973749565,0.08161015620443408,0.08182890119314945,0.09006524461454478,0.08898554148364911,0.09694094172843845,0.09864361051694337
r20,0.08389574339057808,0.0805809014758046,0.07627095802284707,0.08006805341169976,0.08874326949784198,0.08373542724731528,0.07288190836626826,0.07130627968502116,0.07501405426069557,0.07462365884169869,0.08913928758356177,0.08427923917440802
vol_10,0.21365524421529622,0.2099851630352069,0.1848242203959081,0.17895503027406487,0.1333060888853318,0.14239846287125785,0.22736056438533986,0.2253780965444144,0.1900162847487172,0.18437465528876618,0.13047125269775223,0.14729666392407126
vol_20,0.2426107394561911,0.24405172145133075,0.1952835414185495,0.20949792693344987,0.13505649569598283,0.15285747751171527,0.2517858004099868,0.25269827184624716,0.20249953554920325,0.21444953477992296,0.1378740959028579,0.153429439907492
mom_20,0.04537006788733335,0.04564834480384212,0.050404935535703146,0.04958474542009217,0.08224796370520913,0.07528537477997446,0.03589069981112754,0.035950517173058825,0.049205910465404075,0.04872500268525859,0.07897292114521479,0.07056098047304185
bb_pos_20,0.027761965381536483,0.02760677100229452,0.050132907767169284,0.04448422980718109,0.07874712836249034,0.07180735350285912,0.029820344514335306,0.029043928429403846,0.04836051673944849,0.044037132841868096,0.07872782779256977,0.07148585429967282
rsi_14,0.13955937461684886,0.14216754573096804,0.12254400141120271,0.12119677328637206,0.09933466113381333,0.10061233347888476,0.1367007723745219,0.13844841558998391,0.11716529145326617,0.11782002577968012,0.09779846305981806,0.09806234454076891
