Date,px_SPY,px_QQQ,px_TLT,px_GLD,ret_SPY,ret_QQQ,ret_TLT,ret_GLD,w_ew_SPY,w_ew_QQQ,w_ew_TLT,w_ew_GLD,w_minvar_SPY,w_minvar_QQQ,w_minvar_TLT,w_minvar_GLD,w_rp_SPY,w_rp_QQQ,w_rp_TLT,w_rp_GLD,ret_ew,ret_minvar,ret_rp
2010-01-05,85.50495147705078,40.39356994628906,57.35207748413086,109.69999694824219,0.0026469624658629343,0.0,0.006457877491919062,-0.0009108023746454696,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0
2010-01-06,85.56513977050781,40.14991760253906,56.584346771240234,111.51000213623047,0.0007039158834349912,-0.00603195865267625,-0.013386275555633653,0.01649959196299955,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0005536815904688408,-0.0005536815904688408,-0.0005536815904688408
2010-01-07,85.92633056640625,40.176021575927734,56.67954635620117,110.81999969482422,0.004221237724465476,0.0006501625643939857,0.0016824367584522548,-0.006187807624317698,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,9.150735574850466e-05,9.150735574850466e-05,9.150735574850466e-05
2010-01-08,86.2123031616211,40.506690979003906,56.654151916503906,111.37000274658203,0.0033281136681826418,0.008230516365371088,-0.0004480353377861457,0.0049630306196752905,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004018406328860719,0.004018406328860719,0.004018406328860719
2010-01-11,86.33267211914062,40.34134292602539,56.34321212768555,112.8499984741211,0.0013961923426855094,-0.004081993591237065,-0.00548838484559111,0.01328899785435711,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.001278702940053611,0.001278702940053611,0.001278702940053611
2010-01-12,85.52751159667969,39.83664321899414,57.30767059326172,110.48999786376953,-0.009326255086252844,-0.012510731433921896,0.017117562686886023,-0.020912721685971136,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.006408036379814963,-0.006408036379814963,-0.006408036379814963
2010-01-13,86.24990844726562,40.3326530456543,56.64147186279297,111.54000091552734,0.008446368158032236,0.012451094936223317,-0.011624948694862525,0.00950315025847348,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004693916164466627,0.004693916164466627,0.004693916164466627
2010-01-14,86.48316192626953,40.36745071411133,57.43458938598633,112.02999877929688,0.0027043910330237786,0.0008627666624767549,0.014002417259116884,0.004393023666376061,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00549064965524837,0.00549064965524837,0.00549064965524837
2010-01-15,85.512451171875,39.897552490234375,57.78992462158203,110.86000061035156,-0.011224274561354552,-0.011640522638024509,0.006186781160873123,-0.01044361493969348,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0067804077445498545,-0.0067804077445498545,-0.0067804077445498545
2010-01-19,86.58098602294922,40.54149627685547,57.624916076660156,111.5199966430664,0.012495663922982736,0.016139932061715045,-0.0028553168394382933,0.005953418988644765,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.007933424533476063,0.007933424533476063,0.007933424533476063
2010-01-20,85.70059204101562,39.95847702026367,58.20867156982422,108.94000244140625,-0.010168444855782055,-0.014380802637633083,0.010130261923288142,-0.02313481240425197,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.009388449493594742,-0.009388449493594742,-0.009388449493594742
2010-01-21,84.0526351928711,39.58429718017578,58.475181579589844,107.37000274658203,-0.01922923528178,-0.009364216756763244,0.004578527607281613,-0.01441159959280014,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.009606631006015443,-0.009606631006015443,-0.009606631006015443
2010-01-22,82.17896270751953,38.42696762084961,58.37360763549805,107.16999816894531,-0.022291656663139037,-0.02923708747583309,-0.0017370436713145532,-0.001862760291706178,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.013782137025498215,-0.013782137025498215,-0.013782137025498215
2010-01-25,82.600341796875,38.55748748779297,58.10713195800781,107.4800033569336,0.0051275785854731915,0.003396569519384718,-0.0045650027175668795,0.002892648999579084,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0017129485967175284,0.0017129485967175284,0.0017129485967175284
2010-01-26,82.25421142578125,38.5922966003418,58.126216888427734,107.55999755859375,-0.0041904229881388755,0.0009027847719551563,0.0003284438549422397,0.0007442705541653716,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.000553730951769027,-0.000553730951769027,-0.000553730951769027
2010-01-27,82.6455078125,38.896873474121094,58.094459533691406,106.52999877929688,0.004757159298424796,0.00789216762436995,-0.0005463516539754298,-0.009576039444736728,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.000631733956020647,0.000631733956020647,0.000631733956020647
2010-01-28,81.69738006591797,37.896156311035156,58.06271743774414,106.4800033569336,-0.011472223617199795,-0.0257274447457001,-0.000546387662473391,-0.0004693083914030227,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.009553841104194077,-0.009553841104194077,-0.009553841104194077
2010-01-29,80.8094482421875,37.23482894897461,58.57033157348633,105.95999908447266,-0.010868547106578363,-0.01745104059189173,0.008742514269788781,-0.004883586176437471,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.006115164901279696,-0.006115164901279696,-0.006115164901279696
2010-02-01,82.06604766845703,37.64380645751953,58.03864669799805,108.3499984741211,0.015550154760412216,0.010983735392080751,-0.009077716673350111,0.02255567582388429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.010002962325756787,0.010002962325756787,0.010002962325756787
2010-02-02,83.05936431884766,37.98318862915039,58.20419692993164,109.12999725341797,0.012103868513365867,0.009015617801930942,0.002852413716588398,0.007198881313165595,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0077926953362627005,0.0077926953362627005,0.0077926953362627005
2010-02-03,82.6455078125,38.1920280456543,57.529258728027344,108.69999694824219,-0.004982659206961282,0.005498206549821694,-0.011596040105438021,-0.003940257637661704,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0037551876000598283,-0.0037551876000598283,-0.0037551876000598283
2010-02-04,80.09458923339844,37.08689880371094,58.4398078918457,104.37000274658203,-0.030865786255302563,-0.028936123544481607,0.015827583806059975,-0.03983435439949368,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.020952170098304468,-0.020952170098304468,-0.020952170098304468
2010-02-05,80.26016235351562,37.400169372558594,58.56713104248047,104.68000030517578,0.0020672197922722013,0.008446933525116052,0.002178705838157491,0.002970178695371306,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0039157594627292625,0.0039157594627292625,0.0039157594627292625
2010-02-08,79.68070983886719,37.13040542602539,58.643550872802734,104.04000091552734,-0.007219677828412152,-0.007212907081943221,0.001304824548548078,-0.006113864996012963,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0048104063394550645,-0.0048104063394550645,-0.0048104063394550645
2010-02-09,80.68150329589844,37.5133056640625,58.05772399902344,105.41000366210938,0.012560046955594206,0.01031230964606511,-0.009989621451299002,0.01316803858637372,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0065126934341835085,0.0065126934341835085,0.0065126934341835085
2010-02-10,80.52348327636719,37.43497848510742,57.5037956237793,105.12000274658203,-0.0019585656324686562,-0.0020879839184664295,-0.0095409936368408,-0.002751170718643947,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.004084678476604958,-0.004084678476604958,-0.004084678476604958
2010-02-11,81.36627197265625,38.00059127807617,57.191768646240234,107.12999725341797,0.010466371572582123,0.015109205771115075,-0.005426197943184663,0.019120951810489784,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00981758280275058,0.00981758280275058,0.00981758280275058
2010-02-12,81.2985610961914,38.07889938354492,57.42740249633789,107.04000091552734,-0.000832173759756305,0.0020607075530933994,0.004120065800992556,-0.0008400666498453724,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0011271332361210695,0.0011271332361210695,0.0011271332361210695
2010-02-16,82.5777587890625,38.56619644165039,57.535606384277344,109.62000274658203,0.01573456744649593,0.012797036311297472,0.0018841856541631508,0.02410315591356116,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.013629736331379427,0.013629736331379427,0.013629736331379427
2010-02-17,82.96907806396484,38.78374099731445,56.879825592041016,109.25,0.004738797475745571,0.0056408091991442255,-0.01139782533717304,-0.0033753214496573536,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0010983850279851493,-0.0010983850279851493,-0.0010983850279851493
2010-02-18,83.45819091796875,39.027400970458984,56.65052795410156,109.9800033569336,0.0058951221999457015,0.006282528886561112,-0.004031264785937405,0.006681952923877299,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.003707084806111677,0.003707084806111677,0.003707084806111677
2010-02-19,83.63125610351562,39.00998306274414,56.956180572509766,109.47000122070312,0.0020736752575547523,-0.00044629945324892173,0.005395406352714627,-0.004637226047132237,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0005963890274720551,0.0005963890274720551,0.0005963890274720551
2010-02-22,83.64628601074219,38.93166732788086,56.720603942871094,109.06999969482422,0.00017971638747082963,-0.0020075818730123096,-0.004136103005340508,-0.0036539830220012615,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0024044878782208123,-0.0024044878782208123,-0.0024044878782208123
2010-02-23,82.6304702758789,38.42696762084961,57.60566329956055,107.88999938964844,-0.012144182166472062,-0.012963732140745199,0.015603842257760236,-0.010818743086801086,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0050807037840645275,-0.0050807037840645275,-0.0050807037840645275
2010-02-24,83.39048767089844,38.81855773925781,57.74574279785156,107.36000061035156,0.0091977861493715,0.010190502729019224,0.0024316966469524193,-0.004912399502225995,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004226896505779287,0.004226896505779287,0.004226896505779287
2010-02-25,83.27759552001953,38.809844970703125,58.07046890258789,108.30999755859375,-0.0013537773195959613,-0.00022444853858849534,0.0056233773955092214,0.008848704758209536,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.003223464073883575,0.003223464073883575,0.003223464073883575
2010-02-26,83.33026123046875,38.9490852355957,58.36976623535156,109.43000030517578,0.0006324115162108512,0.0035877562767305804,0.005154036783579841,0.010340714355349556,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004928729732967707,0.004928729732967707,0.004928729732967707
2010-03-01,84.19562530517578,39.51469039916992,58.34421920776367,109.43000030517578,0.010384751732790853,0.014521654620460955,-0.0004376756878703425,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0061171826663453666,0.0061171826663453666,0.0061171826663453666
